\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"
"ability_courier_transfer_items_Description"	"Передаёт предметы герою"
"[english]ability_courier_transfer_items_Description"	"Transfer items to hero"

"ability_courier_return_stash_items"	"Вернуть предметы"
"[english]ability_courier_return_stash_items"	"Return Items"

"ability_courier_return_stash_items_Description"	"Возвращает предметы в тайник"
"[english]ability_courier_return_stash_items_Description"	"Return items to stash"

"ability_courier_shield"	"Щит"
"[english]ability_courier_shield"	"Shield"

"ability_courier_shield_Description"	"Создаёт щит вокруг курьера"
"[english]ability_courier_shield_Description"	"Summons a protective shield around the courier"

"ability_courier_burst"	"Ускорение"
"[english]ability_courier_burst"	"Speed Burst"

"ability_courier_burst_Description"	"Ускоряет курьера на %duration% секунды"
"[english]ability_courier_burst_Description"	"The courier gains a burst of speed for %duration% seconds"

"ability_courier_take_stash_items"	"Забрать предметы"
"[english]ability_courier_take_stash_items"	"Retrieve Items"

"ability_courier_take_stash_items_Description"	"Забирает предметы из тайника"
"[english]ability_courier_take_stash_items_Description"	"Retrieve items from stash"

"ability_necronomicon_warrior_mana_burn"	"Mana Break"
"[english]ability_necronomicon_warrior_mana_burn"	"Mana Break"

"ability_necronomicon_warrior_mana_burn_Description"	"Каждая атака сжигает ману цели и наносит ей урон, равный доле от сожжённой маны."
"[english]ability_necronomicon_warrior_mana_burn_Description"	"Mana burned per hit, a portion of which is dealt as damage."

"ability_necronomicon_warrior_mana_burn_burn_amount"	"СЖИГАНИЕ МАНЫ ЗА УДАР:"
"[english]ability_necronomicon_warrior_mana_burn_burn_amount"	"MANA BURN PER HIT:"

"ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%ДОЛЯ МАНЫ В ВИДЕ УРОНА:"
"[english]ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%CONVERTED TO DAMAGE:"

"ability_necronomicon_warrior_last_will"	"Last Will"
"[english]ability_necronomicon_warrior_last_will"	"Last Will"

"ability_necronomicon_warrior_last_will_Description"	"Наносит урон убийце Necronomicon Warrior."
"[english]ability_necronomicon_warrior_last_will_Description"	"Deals damage to the unit that kills the Necronomicon Warrior."

"ability_necronomicon_warrior_last_will_explosion"	"УРОН:"
"[english]ability_necronomicon_warrior_last_will_explosion"	"DAMAGE:"

"ability_necronomicon_warrior_sight"	"True Sight"
"[english]ability_necronomicon_warrior_sight"	"True Sight"

"ability_necronomicon_warrior_sight_Description"	"Раскрывает невидимых вражеских существ и варды."
"[english]ability_necronomicon_warrior_sight_Description"	"Reveals invisible units."

"ability_necronomicon_warrior_sight_radius"	"РАДИУС:"
"[english]ability_necronomicon_warrior_sight_radius"	"RADIUS:"

"ability_necronomicon_archer_mana_burn"	"Mana Burn"
"[english]ability_necronomicon_archer_mana_burn"	"Mana Burn"

"ability_necronomicon_archer_mana_burn_Description"	"Выпускает стрелу, которая сжигает ману цели и наносит ей урон, равный числу сожжённой маны."
"[english]ability_necronomicon_archer_mana_burn_Description"	"Launches an arrow that burns away the targeted unit's mana, dealing damage equal to the amount of mana burned."

"ability_necronomicon_archer_mana_burn_burn_amount"	"СЖИГАЕТ МАНЫ:"
"[english]ability_necronomicon_archer_mana_burn_burn_amount"	"MANA BURN PER HIT:"

"ability_necronomicon_archer_aoe"	"Archer Aura"
"[english]ability_necronomicon_archer_aoe"	"Archer Aura"

"ability_necronomicon_archer_aoe_Description"	"Увеличивает скорость передвижения и атаки ближайших союзников."
"[english]ability_necronomicon_archer_aoe_Description"	"Increases movement and attack speed of nearby units."

"ability_necronomicon_archer_aoe_radius"	"РАДИУС:"
"[english]ability_necronomicon_archer_aoe_radius"	"RADIUS:"

"ability_antimage_mana_break"	"Mana Break"
"[english]ability_antimage_mana_break"	"Mana Break"

"ability_antimage_mana_break_Description"	"Каждая атака сжигает ману цели и наносит ей урон, равный 50%% от сожжённой маны."
"[english]ability_antimage_mana_break_Description"	"Burns an opponent's mana on each attack.  Mana Break deals 50%% of the mana burned as damage to the target."

"ability_antimage_mana_break_Lore"	"Изменённый приём турстаркурийских монахов, обращающий волшебную энергию против самого чародея."
"[english]ability_antimage_mana_break_Lore"	"A modified technique of the Turstarkuri monks' peaceful ways is to turn magical energies on their owner."

"ability_antimage_mana_break_mana_per_hit"	"СЖИГАНИЕ МАНЫ ЗА УДАР:"
"[english]ability_antimage_mana_break_mana_per_hit"	"MANA BURNED PER HIT:"

"ability_antimage_blink"	"Blink"
"[english]ability_antimage_blink"	"Blink"

"ability_antimage_blink_Description"	"Перемещает героя на короткую дистанцию, что позволяет ворваться в схватку или быстро из неё сбежать."
"[english]ability_antimage_blink_Description"	"Short distance teleportation that allows Anti-Mage to move in and out of combat."

"ability_antimage_blink_Lore"	"В схватках с мёртвыми богами юный послушник познал важность неуловимости."
"[english]ability_antimage_blink_Lore"	"In his encounter with the Dead Gods, Anti-Mage learned the value of being elusive."

"ability_antimage_blink_blink_range"	"ДАЛЬНОСТЬ:"
"[english]ability_antimage_blink_blink_range"	"RANGE:"

"ability_antimage_spell_shield"	"Spell Shield"
"[english]ability_antimage_spell_shield"	"Spell Shield"

"ability_antimage_spell_shield_Description"	"Увеличивает сопротивление магическому урону.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_antimage_spell_shield_Description"	"Increases Anti-Mage's resistance to magic damage.\n\nUpgradable by Aghanim's Scepter."

"ability_antimage_spell_shield_Lore"	"Годы медитации и одержимость местью защищают кожу воина от вражеских заклятий."
"[english]ability_antimage_spell_shield_Lore"	"Years of meditation and obsession with revenge have hardened Anti-Mage's skin against mystical opponents."

"ability_antimage_spell_shield_spell_shield_resistance"	"%СОПРОТИВЛЕНИЕ:"
"[english]ability_antimage_spell_shield_spell_shield_resistance"	"%RESISTANCE:"

"ability_antimage_mana_void"	"Mana Void"
"[english]ability_antimage_mana_void"	"Mana Void"

"ability_antimage_mana_void_Description"	"Кратковременно оглушает вражескую цель, а затем наносит ей и всем окружающим её противникам урон, пропорциональный количеству отсутствующей у неё маны.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_antimage_mana_void_Description"	"For each point of mana missing by the target unit, damage is dealt to it and surrounding enemies.  The main target is also mini-stunned.\n\nUpgradable by Aghanim's Scepter."

"ability_antimage_mana_void_Lore"	"Одолев врагов, борец с магией карает их за использование тайных искусств."
"[english]ability_antimage_mana_void_Lore"	"After bringing enemies to their knees, Anti-Mage punishes them for their use of the arcane arts."

"ability_antimage_mana_void_mana_void_damage_per_mana"	"УРОН ЗА ЕДИНИЦУ МАНЫ:"
"[english]ability_antimage_mana_void_mana_void_damage_per_mana"	"DAMAGE:"

"ability_antimage_mana_void_mana_void_ministun"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_antimage_mana_void_mana_void_ministun"	"STUN DURATION:"

"ability_antimage_mana_void_mana_void_aoe_radius"	"РАДИУС:"
"[english]ability_antimage_mana_void_mana_void_aoe_radius"	"RADIUS:"

"ability_queenofpain_shadow_strike"	"Shadow Strike"
"[english]ability_queenofpain_shadow_strike"	"Shadow Strike"

"ability_queenofpain_shadow_strike_Description"	"Бросает кинжал, который наносит урон при попадании и отравляет цель на 15 секунд. Жертва передвигается медленнее и каждые 3 секунды получает урон от яда."
"[english]ability_queenofpain_shadow_strike_Description"	"Hurls a poisoned dagger which deals large initial damage, and then deals damage over time. The poisoned unit has its movement speed slowed for 15 seconds.  An instance of damage is dealt every 3 seconds."

"ability_queenofpain_shadow_strike_Lore"	"Акаша обожает растягивать страдания жертвы, пронзив её отравленным кинжалом."
"[english]ability_queenofpain_shadow_strike_Lore"	"Akasha's envenomed dagger allows her to delight in the drawn out suffering of her victims."

"ability_queenofpain_shadow_strike_movement_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_queenofpain_shadow_strike_movement_slow"	"%MOVEMENT SLOW:"

"ability_queenofpain_shadow_strike_strike_damage"	"УРОН ОТ ПОПАДАНИЯ:"
"[english]ability_queenofpain_shadow_strike_strike_damage"	"INITIAL DAMAGE:"

"ability_queenofpain_shadow_strike_duration_damage"	"ПЕРИОДИЧЕСКИЙ УРОН:"
"[english]ability_queenofpain_shadow_strike_duration_damage"	"DAMAGE PER TICK:"

"ability_queenofpain_blink"	"Blink"
"[english]ability_queenofpain_blink"	"Blink"

"ability_queenofpain_blink_Description"	"Телепортация на короткую дистанцию, позволяющая ворваться в схватку или быстро из неё сбежать."
"[english]ability_queenofpain_blink_Description"	"Short distance teleportation that allows Queen of Pain to move in and out of combat."

"ability_queenofpain_blink_Lore"	"Негласная королева сделала себе имя, не оставляя без боли ни одного подданного."
"[english]ability_queenofpain_blink_Lore"	"The Secret Queen lives up to her title, making her pain impossible to escape."

"ability_queenofpain_blink_blink_range"	"ДАЛЬНОСТЬ:"
"[english]ability_queenofpain_blink_blink_range"	"RANGE:"

"ability_queenofpain_scream_of_pain"	"Scream Of Pain"
"[english]ability_queenofpain_scream_of_pain"	"Scream Of Pain"

"ability_queenofpain_scream_of_pain_Description"	"Герой издаёт пронзительный вопль, нанося урон всем врагам поблизости."
"[english]ability_queenofpain_scream_of_pain_Description"	"The Queen of Pain lets loose a piercing scream around her, damaging nearby enemies."

"ability_queenofpain_scream_of_pain_Lore"	"Акаша одурманивает противников своим сладострастным голосом, когда крадёт их души."
"[english]ability_queenofpain_scream_of_pain_Lore"	"The sultry voice of Akasha beckons her opponents while stealing their souls."

"ability_queenofpain_scream_of_pain_area_of_effect"	"РАДИУС:"
"[english]ability_queenofpain_scream_of_pain_area_of_effect"	"RADIUS:"

"ability_queenofpain_sonic_wave"	"Sonic Wave"
"[english]ability_queenofpain_sonic_wave"	"Sonic Wave"

"ability_queenofpain_sonic_wave_Description"	"Создаёт перед героем гигантскую звуковую волну, отталкивающую врагов и наносящую им огромный урон.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_queenofpain_sonic_wave_Description"	"Creates a gigantic wave of sound in front of Queen of Pain, dealing heavy damage to all enemy units in its wake and pushing them back.\n\nUpgradable by Aghanim's Scepter."

"ability_queenofpain_sonic_wave_Lore"	"Самая изысканная пытка Акаши — звуковая волна, добивающая её многострадальных противников."
"[english]ability_queenofpain_sonic_wave_Lore"	"Her most exquisite of all of torments, Akasha's Sonic Wave puts her poor foes out of their misery."

"ability_lina_dragon_slave"	"Dragon Slave"
"[english]ability_lina_dragon_slave"	"Dragon Slave"

"ability_lina_dragon_slave_Description"	"Герой высвобождает дыхание дракона, сжигающее всех врагов на своём пути."
"[english]ability_lina_dragon_slave_Description"	"Lina channels the breath of a dragon, sending out a wave of fire that scorches every enemy in its path."

"ability_lina_dragon_slave_Lore"	"Борясь со скукой в выжженных пустошах Мизрула, волшебница научилась управлять пламенем пустынного дракона."
"[english]ability_lina_dragon_slave_Lore"	"In the scorched barren of Misrule, Lina learned to manipulate the fiery breath of the Desert Wyrm as a form of entertainment."

"ability_lina_light_strike_array"	"Light Strike Array"
"[english]ability_lina_light_strike_array"	"Light Strike Array"

"ability_lina_light_strike_array_Description"	"Призывает столб пламени, который оглушает врагов и наносит им урон."
"[english]ability_lina_light_strike_array_Description"	"Summons a column of flames that damages and stuns enemies."

"ability_lina_light_strike_array_Lore"	"Сущность волшебницы позволяет ей управлять энергией солнца, воспламеняя воздух взмахом рук."
"[english]ability_lina_light_strike_array_Lore"	"Lina's essence allows her to focus the sun's energies, causing air to combust at will."

"ability_lina_light_strike_array_light_strike_array_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_lina_light_strike_array_light_strike_array_stun_duration"	"STUN DURATION:"

"ability_lina_fiery_soul"	"Fiery Soul"
"[english]ability_lina_fiery_soul"	"Fiery Soul"

"ability_lina_fiery_soul_Description"	"Увеличивает скорость атаки и передвижения всякий раз, когда герой применяет способность. Эффекты способности складываются друг с другом. Действует %fiery_soul_stack_duration% сек."
"[english]ability_lina_fiery_soul_Description"	"Grants bonus attack and movement speed each time Lina casts a spell. Stacks with itself. Lasts %fiery_soul_stack_duration% seconds."

"ability_lina_fiery_soul_Lore"	"Пляшущие языки огня воплощают игривую натуру волшебницы, высвобождая её внутреннее пламя."
"[english]ability_lina_fiery_soul_Lore"	"Dancing flames embody Lina's playful nature, bringing out her true blazing self."

"ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"	"ДОП. СКОРОСТЬ АТАКИ:"
"[english]ability_lina_fiery_soul_fiery_soul_attack_speed_bonus"	"ATTACK SPEED BONUS:"

"ability_lina_fiery_soul_fiery_soul_move_speed_bonus"	"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_lina_fiery_soul_fiery_soul_move_speed_bonus"	"%MOVE SPEED BONUS:"

"ability_lina_fiery_soul_fiery_soul_max_stacks"	"МАКС. ЭФФЕКТОВ:"
"[english]ability_lina_fiery_soul_fiery_soul_max_stacks"	"MAX STACKS:"

"ability_lina_laguna_blade"	"Laguna Blade"
"[english]ability_lina_laguna_blade"	"Laguna Blade"

"ability_lina_laguna_blade_Description"	"Выпускает разряд молнии в одного врага, нанося сокрушительный урон.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_lina_laguna_blade_Description"	"Fires off a bolt of lightning at a single enemy unit, dealing massive damage.\n\nUpgradable by Aghanim's Scepter."

"ability_lina_laguna_blade_Lore"	"Воздух вокруг волшебницы становится таким горячим, что он обжигает молнией любого врага, подошедшего слишком близко."
"[english]ability_lina_laguna_blade_Lore"	"The air around Lina becomes so intensely torrid that it scorches a foe that comes too close with white-hot lightning."

"ability_mirana_arrow"	"Sacred Arrow"
"[english]ability_mirana_arrow"	"Sacred Arrow"

"ability_mirana_arrow_Description"	"Выпускает невероятно точную стрелу, оглушающую первое существо на своем пути и наносящую ему урон. Преодолённое стрелой расстояние увеличивает её урон, который может достичь %arrow_bonus_damage%, и длительность оглушения, которое составляет от 0,01 секунды до %arrow_max_stun%. Мгновенно убивает любого крипа, если он не древний."
"[english]ability_mirana_arrow_Description"	"Fires a long-range arrow with deadly precision, which stuns and damages the first enemy unit it strikes. The stun duration ranges from 0.01 to %arrow_max_stun% seconds, with bonus damage up to %arrow_bonus_damage% added, based on the distance the arrow travels to its target. Instantly kills the first non-ancient creep it hits."

"ability_mirana_arrow_Lore"	"Лунная энергия делает стрелы принцессы Луны смертоноснее остальных."
"[english]ability_mirana_arrow_Lore"	"Lunar energies make the Princess of the Moon's arrows more deadly than most."

"ability_mirana_arrow_arrow_range"	"ДАЛЬНОСТЬ:"
"[english]ability_mirana_arrow_arrow_range"	"RANGE:"

"ability_mirana_arrow_arrow_min_stun"	"МИН. ОГЛУШЕНИЕ:"
"[english]ability_mirana_arrow_arrow_min_stun"	"MINIMUM STUN:"

"ability_mirana_arrow_arrow_max_stun"	"МАКС. ОГЛУШЕНИЕ:"
"[english]ability_mirana_arrow_arrow_max_stun"	"MAXIMUM STUN:"

"ability_mirana_invis"	"Moonlight Shadow"
"[english]ability_mirana_invis"	"Moonlight Shadow"

"ability_mirana_invis_Description"	"Делает владельца способности и его союзных героев невидимыми. Если раскрыть невидимость, то после задержки она восстановится, если способность ещё действует."
"[english]ability_mirana_invis_Description"	"Turns Mirana and all allied heroes invisible. If a hero is revealed, invisibility will restore after the fade delay as long as Moonlight Shadow's duration has not expired."

"ability_mirana_invis_Lore"	"Положение принцессы на службе Селемине позволяет ей призвать затмение, закутывающее её союзников в плащи теней."
"[english]ability_mirana_invis_Lore"	"Her tenure with Selemene allows Mirana to eclipse the ground, wrapping her allies in a cloak of shadows."

"ability_mirana_invis_fade_delay"	"ЗАДЕРЖКА ДО НЕВИДИМОСТИ:"
"[english]ability_mirana_invis_fade_delay"	"FADE DELAY:"

"ability_mirana_invis_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_mirana_invis_duration"	"DURATION:"

"ability_mirana_leap"	"Leap"
"[english]ability_mirana_leap"	"Leap"

"ability_mirana_leap_Description"	"Герой врывается в битву, воодушевляясь свирепым рыком своего питомца, что даёт ему дополнительную скорость атаки и передвижения на %leap_bonus_duration% сек."
"[english]ability_mirana_leap_Description"	"Mirana leaps forward into battle, empowering herself with a ferocious roar that grants bonus attack and movement speed. Speed bonus lasts %leap_bonus_duration% seconds."

"ability_mirana_leap_Lore"	"Знаменитого белого зверя принцессы в гуще битвы узнает любой."
"[english]ability_mirana_leap_Lore"	"None can fail to recognize Mirana's iconic white beast in the heat of battle."

"ability_mirana_leap_leap_distance"	"РАССТОЯНИЕ:"
"[english]ability_mirana_leap_leap_distance"	"DISTANCE:"

"ability_mirana_leap_leap_speedbonus"	"%ДОП. СКОРОСТЬ:"
"[english]ability_mirana_leap_leap_speedbonus"	"%MOVEMENT BONUS:"

"ability_mirana_starfall"	"Starstorm"
"[english]ability_mirana_starfall"	"Starstorm"

"ability_mirana_starfall_Description"	"Призывает звёздный дождь, наносящий урон противникам, стоящим неподалеку. Ближайший враг в радиусе %starfall_secondary_radius% получит второй удар, наносящий 75%% от обычного урона.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_mirana_starfall_Description"	"Calls down a wave of meteors to damage nearby enemy units. The closest enemy unit to Mirana in a %starfall_secondary_radius% radius will be struck a second time for 75%% of the damage.\n\nUpgradable by Aghanim's Scepter."

"ability_mirana_starfall_Lore"	"Богиня разверзает небеса, чтобы в час нужды помочь своей принцессе."
"[english]ability_mirana_starfall_Lore"	"The Goddess breaks the strata to empower her Princess in the time of need."

"ability_mirana_starfall_starfall_radius"	"РАДИУС:"
"[english]ability_mirana_starfall_starfall_radius"	"RADIUS:"

"ability_life_stealer_rage"	"Rage"
"[english]ability_life_stealer_rage"	"Rage"

"ability_life_stealer_rage_Description"	"Погружаясь в безумную ярость, герой становится невосприимчивым к магии, получая полное сопротивление магическому урону, а его скорость атаки увеличивается.\n\nТИП РАЗВЕИВАНИЯ: нормальное"
"[english]ability_life_stealer_rage_Description"	"Launch into a maddened rage, becoming Spell Immune, 100% resistant to magic damage, and gaining increased attack speed.\n\nDISPEL TYPE: Basic Dispel"

"ability_life_stealer_rage_attack_speed_bonus"	"ДОП. СКОРОСТЬ АТАКИ:"
"[english]ability_life_stealer_rage_attack_speed_bonus"	"ATTACK SPEED BONUS:"

"ability_life_stealer_rage_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_life_stealer_rage_duration"	"DURATION:"

"ability_life_stealer_feast"	"Feast"
"[english]ability_life_stealer_feast"	"Feast"

"ability_life_stealer_feast_Description"	"Каждая атака лечит героя на долю от максимального здоровья противника и наносит столько же урона."
"[english]ability_life_stealer_feast_Description"	"Lifestealer's attacks damage enemies and heal himself for a percentage of his target's max health."

"ability_life_stealer_feast_hp_leech_percent"	"%ВАМПИРИЗМ:"
"[english]ability_life_stealer_feast_hp_leech_percent"	"%LIFE STEAL:"

"ability_life_stealer_open_wounds"	"Open Wounds"
"[english]ability_life_stealer_open_wounds"	"Open Wounds"

"ability_life_stealer_open_wounds_Description"	"Герой разрывает плоть вражеского существа, замедляя его и позволяя своим союзникам питаться его жизненной силой, получая в качестве здоровья часть нанесённого врагу урона. Вампиризм действует на любой вид урона, в том числе и от способностей. Скорость передвижения жертвы постепенно восстанавливается."
"[english]ability_life_stealer_open_wounds_Description"	"Lifestealer rends an enemy unit, slowing the victim's movement speed and allowing all allies to regain health for a percentage of the damage they deal to that unit. All damage dealt will steal life, including damage from spells. The victim recovers movement speed over the duration."

"ability_life_stealer_open_wounds_heal_percent"	"%ВАМПИРИЗМ:"
"[english]ability_life_stealer_open_wounds_heal_percent"	"%LIFE STEAL:"

"ability_life_stealer_infest"	"Infest"
"[english]ability_life_stealer_infest"	"Infest"

"ability_life_stealer_infest_Description"	"Герой забирается в тело выбранного существа, становясь незаметным для противников. После этого он может вырваться из носителя, нанеся урон окружающим врагам. Находясь внутри вражеского или нейтрального крипа, герой может полностью управлять им или сожрать крипа изнутри, излечившись на количество его текущего здоровья. Не действует на вражеских героев.\n\nТИП РАЗВЕИВАНИЯ: нормальное"
"[english]ability_life_stealer_infest_Description"	"Lifestealer infests the body of a target unit, becoming undetectable inside. He can then explode from the host body, dealing damage to nearby enemies. If the infested unit is an enemy creep or a neutral creep, he can take control of the unit's ability to move and attack, and when consumed the creep will heal Lifestealer's health equal to the creep's current health.  Does not work on enemy heroes.\n\nDISPEL TYPE: Basic Dispel"

"ability_life_stealer_infest_damage"	"УРОН:"
"[english]ability_life_stealer_infest_damage"	"DAMAGE:"

"ability_life_stealer_infest_radius"	"РАДИУС УРОНА:"
"[english]ability_life_stealer_infest_radius"	"DAMAGE RADIUS:"

"ability_life_stealer_consume"	"Consume"
"[english]ability_life_stealer_consume"	"Consume"

"ability_life_stealer_consume_Description"	"Герой пожирает тело носителя изнутри, выбираясь наружу и нанося урон всем вокруг."
"[english]ability_life_stealer_consume_Description"	"Lifestealer eats the host body from the inside out, exploding from within."

"ability_furion_sprout"	"Sprout"
"[english]ability_furion_sprout"	"Sprout"

"ability_furion_sprout_Description"	"Окружает существо кольцом деревьев, удерживая его на месте."
"[english]ability_furion_sprout_Description"	"Sprouts a ring of trees around a unit, trapping it in place."

"ability_furion_sprout_Lore"	"Тех, кто пытается одолеть стража лесов, неизменно окружают густые заросли."
"[english]ability_furion_sprout_Lore"	"Verdant overgrowth is a common ailment reported by Nature's Prophet's attackers."

"ability_furion_sprout_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_furion_sprout_duration"	"DURATION:"

"ability_furion_teleportation"	"Teleportation"
"[english]ability_furion_teleportation"	"Teleportation"

"ability_furion_teleportation_Description"	"Телепортирует в любую точку карты."
"[english]ability_furion_teleportation_Description"	"Teleports to any point on the map."

"ability_furion_teleportation_Lore"	"Вездесущий страж леса всегда готов прийти на помощь своим подчинённым."
"[english]ability_furion_teleportation_Lore"	"The Prophet keeps his sentinel over the forest, protecting it when in need."

"ability_furion_force_of_nature"	"Nature's Call"
"[english]ability_furion_force_of_nature"	"Nature's Call"

"ability_furion_force_of_nature_Description"	"Преобразует деревья в выбранной области в энтов. Каждый из них имеет %treant_health_tooltip% здоровья и наносит %treant_dmg_tooltip% урона."
"[english]ability_furion_force_of_nature_Description"	"Converts an area of trees into Treants. Treants have %treant_health_tooltip% health and deal %treant_dmg_tooltip% damage."

"ability_furion_force_of_nature_Lore"	"Веродиция наделила стража лесов способностью призывать энтов — мифических разумных воинов природы."
"[english]ability_furion_force_of_nature_Lore"	"Verodicia bestowed the Prophet with the ability to summon the Treant Guard, a mythical sentient army of the wild."

"ability_furion_force_of_nature_duration"	"ВРЕМЯ ЖИЗНИ ЭНТОВ:"
"[english]ability_furion_force_of_nature_duration"	"TREANT DURATION:"

"ability_furion_wrath_of_nature"	"Wrath of Nature"
"[english]ability_furion_wrath_of_nature"	"Wrath of Nature"

"ability_furion_wrath_of_nature_Description"	"Вызывает сгусток энергии, скачущий по видимым врагам на всей карте. Он наносит жертвам урон, увеличивающийся с каждым задетым врагом.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_furion_wrath_of_nature_Description"	"Damaging energy bounces around the map, striking enemies close to the cast point that are in vision. Each enemy hit beyond the first adds damage.\n\nUpgradable by Aghanim's Scepter."

"ability_furion_wrath_of_nature_Lore"	"Герой взывает к Веродиции, обращая её гнев против осмелившихся разорять природу."
"[english]ability_furion_wrath_of_nature_Lore"	"Nature's Prophet calls Verodicia's fury to strike down those who might ravage the wilderness."

"ability_furion_wrath_of_nature_max_targets"	"МАКС. ЦЕЛЕЙ:"
"[english]ability_furion_wrath_of_nature_max_targets"	"MAX TARGETS:"

"ability_windrunner_focusfire"	"Focus Fire"
"[english]ability_windrunner_focusfire"	"Focus Fire"

"ability_windrunner_focusfire_Description"	"Герой призывает вихрь, увеличивающий скорость его атаки по выбранному вражескому существу или строению на %bonus_attack_speed%. Весь урон от этих атак будет уменьшен, за исключением урона от эффектов предметов. Действует %focusfire_duration_tooltip% секунд.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_windrunner_focusfire_Description"	"Windranger channels the wind to gain %bonus_attack_speed% additional attack speed against a single enemy unit or structure, though with a reduction to her attack damage.  Extra damage from secondary item effects is not reduced.  Lasts %focusfire_duration_tooltip% seconds.\n\nUpgradable by Aghanim's Scepter."

"ability_windrunner_focusfire_Lore"	"Способность Лиралей обрушить на оппонента шквал стрел — пусть и в ущерб точности — просто бесподобна."
"[english]ability_windrunner_focusfire_Lore"	"Lyralei's ability to bombard opponents with a flurry of arrows is unparalleled - even at the expense of accuracy."

"ability_windrunner_focusfire_focusfire_damage_reduction"	"%СНИЖЕНИЕ УРОНА:"
"[english]ability_windrunner_focusfire_focusfire_damage_reduction"	"%DAMAGE REDUCTION:"

"ability_windrunner_powershot"	"Powershot"
"[english]ability_windrunner_powershot"	"Powershot"

"ability_windrunner_powershot_Description"	"Герой заряжает лук, чтобы произвести один мощный выстрел. Стрела наносит урон врагам и разрушает деревья на своём пути. Урон увеличивается по мере зарядки, которая длится не более 1 секунды, и снижается на 20%% с каждым задетым врагом."
"[english]ability_windrunner_powershot_Description"	"Windranger charges her bow for up to 1 second for a single powerful shot, which deals more damage the longer it is charged. The arrow damages enemies and destroys trees along its path. For each enemy that Powershot hits, its damage is reduced by 20%%."

