\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"
"modifier_skeleton_king_reincarnate_slow_Description"	"Под действием способности Reincarnation у Wraith King. Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_skeleton_king_reincarnate_slow_Description"	"Affected by Wraith King's Reincarnation. Move speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_drow_ranger_frost_arrows_slow"	"Замедление от Frost Arrow"
"[english]modifier_drow_ranger_frost_arrows_slow"	"Frost Arrow Slow"

"modifier_drow_ranger_frost_arrows_slow_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_drow_ranger_frost_arrows_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_juggernaut_blade_fury"	"Blade Fury"
"[english]modifier_juggernaut_blade_fury"	"Blade Fury"

"modifier_juggernaut_blade_fury_Description"	"Наносит урон каждую секунду"
"[english]modifier_juggernaut_blade_fury_Description"	"Dealing damage every second"

"modifier_juggernaut_blade_dance"	"Blade Dance"
"[english]modifier_juggernaut_blade_dance"	"Blade Dance"

"modifier_juggernaut_blade_dance_Description"	"%dMODIFIER_PROPERTY_PREATTACK_CRITICALSTRIKE%%% шанс нанести критический урон"
"[english]modifier_juggernaut_blade_dance_Description"	"%dMODIFIER_PROPERTY_PREATTACK_CRITICALSTRIKE%%% chance to deal critical damage"

"modifier_juggernaut_healing_ward_aura"	"Healing Ward"
"[english]modifier_juggernaut_healing_ward_aura"	"Healing Ward"

"modifier_juggernaut_healing_ward_heal"	"Healing Ward Aura"
"[english]modifier_juggernaut_healing_ward_heal"	"Healing Ward Aura"

"modifier_juggernaut_healing_ward_heal_Description"	"Лечит %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% очков здоровья в секунду"
"[english]modifier_juggernaut_healing_ward_heal_Description"	"Healing %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% HP per second"

"modifier_juggernaut_omnislash"	"Omnislash"
"[english]modifier_juggernaut_omnislash"	"Omnislash"

"modifier_juggernaut_omnislash_Description"	"Неуязвим. Атакует врагов поблизости."
"[english]modifier_juggernaut_omnislash_Description"	"Invulnerable. Attacking enemy units in an area."

"modifier_earthshaker_enchant_totem"	"Enchant Totem"
"[english]modifier_earthshaker_enchant_totem"	"Enchant Totem"

"modifier_earthshaker_enchant_totem_Description"	"Следующая атака нанесет %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%-й урон."
"[english]modifier_earthshaker_enchant_totem_Description"	"Next attack will deal %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% increased damage"

"modifier_earthshaker_fissure_stun"	"Fissure"
"[english]modifier_earthshaker_fissure_stun"	"Fissure"

"modifier_earthshaker_fissure_stun_Description"	"Оглушен способностью Fissure героя Earthshaker."
"[english]modifier_earthshaker_fissure_stun_Description"	"Stunned by Earthshaker's Fissure."

"modifier_mirana_leap_buff"	"Leap"
"[english]modifier_mirana_leap_buff"	"Leap"

"modifier_mirana_leap_buff_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_mirana_leap_buff_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"modifier_mirana_moonlight_shadow"	"Moonlight Shadow"
"[english]modifier_mirana_moonlight_shadow"	"Moonlight Shadow"

"modifier_mirana_moonlight_shadow_Description"	"Невидим. Атака временно снимает невидимость."
"[english]modifier_mirana_moonlight_shadow_Description"	"Invisible. Attacking temporarily removes invisibility."

"modifier_nevermore_necromastery"	"Necromastery"
"[english]modifier_nevermore_necromastery"	"Necromastery"

"modifier_nevermore_necromastery_Description"	"Захваченные души увеличивают урон на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
"[english]modifier_nevermore_necromastery_Description"	"Stored souls granting an additional %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage."

"modifier_nevermore_presence"	"Presence of the Dark Lord"
"[english]modifier_nevermore_presence"	"Presence of the Dark Lord"

"modifier_nevermore_presence_Description"	"Присутствие Shadow Fiend снижает броню на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_nevermore_presence_Description"	"Shadow Fiend's presence reduces your armor by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_nevermore_requiem"	"Requiem of Souls"
"[english]modifier_nevermore_requiem"	"Requiem of Souls"

"modifier_nevermore_requiem_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, урон снижен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
"[english]modifier_nevermore_requiem_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, damage reduced by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

"modifier_sandking_impale"	"Burrowstrike"
"[english]modifier_sandking_impale"	"Burrowstrike"

"modifier_sandking_impale_Description"	"Оглушен Sand King."
"[english]modifier_sandking_impale_Description"	"Stunned by Sand King."

"modifier_sandking_sand_storm"	"Sand Storm"
"[english]modifier_sandking_sand_storm"	"Sand Storm"

"modifier_sandking_sand_storm_Description"	"Делает героя невидимым и каждую секунду наносит %dMODIFIER_PROPERTY_TOOLTIP% урона врагам неподалёку."
"[english]modifier_sandking_sand_storm_Description"	"Turns you invisible and applies %dMODIFIER_PROPERTY_TOOLTIP% damage every second to nearby units."

"modifier_sandking_sand_storm_invis"	"Невидимость от Sand Storm"
"[english]modifier_sandking_sand_storm_invis"	"Sand Storm Invisibility"

"modifier_sandking_sand_storm_invis_Description"	"Невидим"
"[english]modifier_sandking_sand_storm_invis_Description"	"Invisible"

"modifier_sand_king_caustic_finale_orb"	"Caustic Finale"
"[english]modifier_sand_king_caustic_finale_orb"	"Caustic Finale"

"modifier_sand_king_caustic_finale_orb_Description"	"Ужален ядом Sand King. После смерти ваше тело разорвется на куски, нанося урон по площади."
"[english]modifier_sand_king_caustic_finale_orb_Description"	"Injected with venom from Sand King's attacks. You will explode on death, dealing radius damage."

"modifier_sand_king_epicenter"	"Epicenter"
"[english]modifier_sand_king_epicenter"	"Epicenter"

"modifier_sand_king_epicenter_Description"	"Сотрясая землю, наносит урон и замедляет врагов в зоне поражения."
"[english]modifier_sand_king_epicenter_Description"	"Sending a disturbance into the earth, deals damage and slows in a radius"

"modifier_sand_king_epicenter_slow"	"Замедление от Epicenter"
"[english]modifier_sand_king_epicenter_slow"	"Epicenter Slow"

"modifier_sand_king_epicenter_slow_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Скорость атаки снижена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_sand_king_epicenter_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_sven_warcry"	"Warcry"
"[english]modifier_sven_warcry"	"Warcry"

"modifier_sven_warcry_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Полностью блокирует ограниченное количество урона от атак."
"[english]modifier_sven_warcry_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and fully blocking a limited amount of attack damage."

"modifier_sven_gods_strength"	"God's Strength"
"[english]modifier_sven_gods_strength"	"God's Strength"

"modifier_sven_gods_strength_Description"	"Базовый урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
"[english]modifier_sven_gods_strength_Description"	"Base damage increased by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

"modifier_crystal_maiden_crystal_nova"	"Crystal Nova"
"[english]modifier_crystal_maiden_crystal_nova"	"Crystal Nova"

"modifier_crystal_maiden_crystal_nova_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_crystal_maiden_crystal_nova_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_crystal_maiden_frostbite"	"Frostbite"
"[english]modifier_crystal_maiden_frostbite"	"Frostbite"

"modifier_crystal_maiden_frostbite_Description"	"Не может ни двигаться, ни атаковать. Получает 50 урона каждые полсекунды."
"[english]modifier_crystal_maiden_frostbite_Description"	"Cannot move or attack. Taking 50 damage every half-second."

"modifier_crystal_maiden_brilliance_aura_effect"	"Arcane Aura"
"[english]modifier_crystal_maiden_brilliance_aura_effect"	"Arcane Aura"

"modifier_crystal_maiden_brilliance_aura_effect_Description"	"Увеличивает восстановление маны на %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%"
"[english]modifier_crystal_maiden_brilliance_aura_effect_Description"	"Adds %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regeneration"

"modifier_crystal_maiden_freezing_field_slow"	"Замедление от Freezing Field"
"[english]modifier_crystal_maiden_freezing_field_slow"	"Freezing Field Slow"

"modifier_crystal_maiden_freezing_field_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_crystal_maiden_freezing_field_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_bloodseeker_bloodrage"	"Bloodrage"
"[english]modifier_bloodseeker_bloodrage"	"Bloodrage"

"modifier_bloodseeker_bloodrage_Description"	"Весь получаемый и наносимый урон увеличивается. Убитые вами существа излечивают вас на 25%% от их максимального здоровья. Если вы погибнете под действием этой способности, ваш убийца восстановит 25%% от вашего максимального здоровья."
"[english]modifier_bloodseeker_bloodrage_Description"	"Incoming and outgoing damage increased. Units you kill will heal you for 25%% of their max health. If you are killed while under the effects of Bloodrage, your killer will be healed for 25%% of your max health."

"modifier_bloodseeker_blood_bath"	"Blood Bath"
"[english]modifier_bloodseeker_blood_bath"	"Blood Bath"

"modifier_bloodseeker_blood_bath_Description"	"Восстанавливает здоровье после каждого убийства"
"[english]modifier_bloodseeker_blood_bath_Description"	"Regenerate HP when you kill a target"

"modifier_bloodseeker_thirst_speed"	"Скорость от Thirst"
"[english]modifier_bloodseeker_thirst_speed"	"Thirst Speed"

"modifier_bloodseeker_thirst_speed_Description"	"Вы чувствуете раненого врага. Скорость передвижения и урон увеличены."
"[english]modifier_bloodseeker_thirst_speed_Description"	"You sense an injured enemy. Movement speed and attack damage increased."

"modifier_bloodseeker_rupture"	"Rupture"
"[english]modifier_bloodseeker_rupture"	"Rupture"

"modifier_bloodseeker_rupture_Description"	"Процент от пройденного вами расстояния будет наноситься в качестве урона"
"[english]modifier_bloodseeker_rupture_Description"	"Deals a percentage of the distance you move as damage"

"modifier_axe_berserkers_call"	"Berserker's Call"
"[english]modifier_axe_berserkers_call"	"Berserker's Call"

"modifier_axe_berserkers_call_Description"	"Вы вынуждены атаковать Axe"
"[english]modifier_axe_berserkers_call_Description"	"You are forced to attack Axe"

"modifier_axe_berserkers_call_armor"	"Броня от Berserker's Call"
"[english]modifier_axe_berserkers_call_armor"	"Berserker's Call Armor"

"modifier_axe_berserkers_call_armor_Description"	"%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% дополнительной брони"
"[english]modifier_axe_berserkers_call_armor_Description"	"%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% bonus armor"

"modifier_axe_battle_hunger"	"Battle Hunger"
"[english]modifier_axe_battle_hunger"	"Battle Hunger"

"modifier_axe_battle_hunger_Description"	"Страдает ужасной жаждой убийства. Получает урон каждую секунду, пока не убьёт существо."
"[english]modifier_axe_battle_hunger_Description"	"Afflicted with a terrible killing hunger. Deals damage per second until you kill a unit"

"modifier_axe_counter_helix"	"Counter Helix"
"[english]modifier_axe_counter_helix"	"Counter Helix"

"modifier_axe_counter_helix_Description"	"20%% шанс ответить на атаку"
"[english]modifier_axe_counter_helix_Description"	"20%% chance to counter incoming attacks"

"modifier_phantom_lancer_spirit_lance"	"Spirit Lance"
"[english]modifier_phantom_lancer_spirit_lance"	"Spirit Lance"

"modifier_phantom_lancer_spirit_lance_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_phantom_lancer_spirit_lance_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_razor_static_link_buff"	"Static Link"
"[english]modifier_razor_static_link_buff"	"Static Link"

"modifier_razor_static_link_buff_Description"	"Похитил %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% урона."
"[english]modifier_razor_static_link_buff_Description"	"Stealing %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% attack damage."

"modifier_razor_static_link_debuff"	"Static Link"
"[english]modifier_razor_static_link_debuff"	"Static Link"

"modifier_razor_static_link_debuff_Description"	"Теряет %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% урона."
"[english]modifier_razor_static_link_debuff_Description"	"Losing %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% attack damage."

"modifier_razor_unstable_current"	"Unstable Current"
"[english]modifier_razor_unstable_current"	"Unstable Current"

"modifier_razor_unstable_current_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, атакующие вас враги получают урон"
"[english]modifier_razor_unstable_current_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attackers take damage"

"modifier_razor_eye_of_the_storm"	"Eye of the Storm"
"[english]modifier_razor_eye_of_the_storm"	"Eye of the Storm"

"modifier_razor_eye_of_the_storm_Description"	"Получает урон, снижается броня от каждого удара молнией."
"[english]modifier_razor_eye_of_the_storm_Description"	"Taking damage and armor reduced with each lightning strike."

"modifier_razor_eye_of_the_storm_armor"	"Броня от Eye of the Storm"
"[english]modifier_razor_eye_of_the_storm_armor"	"Eye of the Storm Armor"

"modifier_razor_eye_of_the_storm_armor_Description"	"Броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"[english]modifier_razor_eye_of_the_storm_armor_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_razor_unstablecurrent_slow"	"Unstable Current"
"[english]modifier_razor_unstablecurrent_slow"	"Unstable Current"

"modifier_morphling_morph_str"	"Attribute Shift (сила)"
"[english]modifier_morphling_morph_str"	"Attribute Shift (Strength)"

"modifier_morphling_morph_str_Description"	"Получает силу в обмен на ловкость"
"[english]modifier_morphling_morph_str_Description"	"Gaining strength at the cost of agility"

"modifier_morphling_morph_agi"	"Attribute Shift (ловкость)"
"[english]modifier_morphling_morph_agi"	"Attribute Shift (Agility)"

"modifier_morphling_morph_agi_Description"	"Получает ловкость в обмен на силу"
"[english]modifier_morphling_morph_agi_Description"	"Gaining agility at the cost of strength"

"modifier_morphling_morph"	"Attribute Shift"
"[english]modifier_morphling_morph"	"Attribute Shift"

"modifier_morphling_morph_Description"	"СИЛА: %-dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%\nЛОВК: %-dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%"
"[english]modifier_morphling_morph_Description"	"STR: %-dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%\nAGI: %-dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%"

"modifier_kunkka_tidebringer"	"Tidebringer"
"[english]modifier_kunkka_tidebringer"	"Tidebringer"

"modifier_kunkka_tidebringer_Description"	"Следующая атака будет прорубающей, а физический урон от неё будет увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% ед."
"[english]modifier_kunkka_tidebringer_Description"	"Physical damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% with a cleaving attack."

"modifier_kunkka_torrent"	"Torrent"
"[english]modifier_kunkka_torrent"	"Torrent"

"modifier_kunkka_torrent_Description"	"Оглушен мощным всплеском воды."
"[english]modifier_kunkka_torrent_Description"	"Stunned by a massive blast of water."

"modifier_kunkka_torrent_slow"	"Замедление от Torrent"
"[english]modifier_kunkka_torrent_slow"	"Torrent Slow"

"modifier_kunkka_torrent_slow_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_kunkka_torrent_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_kunkka_ghost_ship_damage_delay"	"Похмелье от рома"
"[english]modifier_kunkka_ghost_ship_damage_delay"	"Rum Hangover"

"modifier_kunkka_ghost_ship_damage_delay_Description"	"Трезвеет. Постепенно начинает ощущать на себе остаток урона, полученного во время действия рома."
"[english]modifier_kunkka_ghost_ship_damage_delay_Description"	"Sobering up. Gradually feeling the rest of the damage taken while under the effects of The Admiral's Rum."

"modifier_kunkka_x_marks_the_spot"	"X Marks the Spot"
"[english]modifier_kunkka_x_marks_the_spot"	"X Marks the Spot"

"modifier_kunkka_x_marks_the_spot_Description"	"Вы возвратитесь на метку X"
"[english]modifier_kunkka_x_marks_the_spot_Description"	"You will be returned to the location of the X"

"modifier_zuus_static_field"	"Static Field"
"[english]modifier_zuus_static_field"	"Static Field"

"modifier_zuus_static_field_Description"	"Каждое применение способности наносит всем существам вокруг дополнительный урон, пропорциональный их текущему здоровью."
"[english]modifier_zuus_static_field_Description"	"Whenever Zeus casts a spell, nearby enemies are shocked for a percent of their current HP"

"modifier_lich_frost_armor"	"Ice Armor"
"[english]modifier_lich_frost_armor"	"Ice Armor"

"modifier_lich_frost_armor_Description"	"Добавляет %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% ед. брони и замедляет атакующих врагов."
"[english]modifier_lich_frost_armor_Description"	"Adds %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor and slows attacking units."

"modifier_tidehunter_gush"	"Gush"
"[english]modifier_tidehunter_gush"	"Gush"

"modifier_tidehunter_gush_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, броня снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% ед."
"[english]modifier_tidehunter_gush_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"modifier_tidehunter_ravage"	"Ravage"
"[english]modifier_tidehunter_ravage"	"Ravage"

"modifier_tidehunter_ravage_Description"	"Оглушен Ravage."
"[english]modifier_tidehunter_ravage_Description"	"Stunned by Ravage."

"modifier_tidehunter_anchor_smash"	"Anchor Smash"
"[english]modifier_tidehunter_anchor_smash"	"Anchor Smash"

"modifier_tidehunter_anchor_smash_Description"	"Урон снижен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%"
"[english]modifier_tidehunter_anchor_smash_Description"	"Damage reduced by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%"

"modifier_shadow_shaman_voodoo"	"Voodoo"
"[english]modifier_shadow_shaman_voodoo"	"Voodoo"

"modifier_shadow_shaman_voodoo_Description"	"Вы — курица. Вы не можете атаковать или использовать заклинания."
"[english]modifier_shadow_shaman_voodoo_Description"	"You are a chicken. Cannot attack or cast spells."

"modifier_shadow_shaman_shackles"	"Shackles"
"[english]modifier_shadow_shaman_shackles"	"Shackles"

"modifier_shadow_shaman_shackles_Description"	"Связан. Не может двигаться или атаковать."
"[english]modifier_shadow_shaman_shackles_Description"	"Shackled.  Cannot move or attack."

"modifier_puck_phase_shift"	"Phase Shift"
"[english]modifier_puck_phase_shift"	"Phase Shift"

"modifier_puck_phase_shift_Description"	"Временно за гранью бытия"
"[english]modifier_puck_phase_shift_Description"	"Temporarily shifted out of existence"

"modifier_puck_coiled"	"Привязан Dream Coil"
"[english]modifier_puck_coiled"	"Dream Coiled"

"modifier_puck_coiled_Description"	"Привязан к спирали видений"
"[english]modifier_puck_coiled_Description"	"Tethered to the dream coil"

