//game\dota\pak01_dir\resource\localization\richpresence_english.txt
"#DOTA_RP_INIT"	"Main Menu""Главное меню"
"#DOTA_RP_LEAGUE_MATCH_PLAYING_AS"	"{%param0%}: {%param1%} (Tournament)""{%param0%}: {%param1%} (турнир)"
"#DOTA_RP_WATCHING_REPLAY"	"Watching A Replay""Просмотр записи"
"#DOTA_RP_WATCHING_TOURNAMENT"	"Watching A Tournament Game""Просмотр турнирной игры"
"#DOTA_RP_WATCHING_TOURNAMENT_REPLAY"	"Watching A Tournament Replay""Просмотр турнирной записи"
"#DOTA_RP_FINDING_MATCH"	"Finding A Match""Поиск игры"
"#DOTA_RP_FINDING_YEAR_BEAST_BRAWL"	"Finding Year Beast Brawl""Поиск игры: битва Годней"
"#DOTA_RP_FINDING_EVENT_MATCH"	"Finding {%param0%} Match""Поиск игры: {%param0%}"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"Playing {%param0%}"
"#DOTA_RP_UNKNOWN_EVENT_GAME"	"Custom Event""Особое событие"
"#DOTA_RP_SPECTATING_WHILE_FINDING"	"Finding A Match & Spectacting""Поиск и просмотр игры"
"#DOTA_RP_PENDING"	"Friend Request Pending""Предлагает дружбу"
"#DOTA_RP_ONLINE"	"Online""В сети"
"#DOTA_RP_BUSY"	"Busy""Не беспокоить"
"#DOTA_RP_AWAY"	"Away""Нет на месте"
"#DOTA_RP_SNOOZE"	"Snooze""Спит"
"#DOTA_RP_LOOKING_TO_TRADE"	"Looking To Trade""Хочет обменяться"
"#DOTA_RP_LOOKING_TO_PLAY"	"Looking To Play""Хочет играть"
"#DOTA_RP_PLAYING_OTHER"	"Playing Other Game""В другой игре"
"#DOTA_RP_ACCOUNT_DISABLED"	"Matchmaking Disabled Temporarily""Поиск игр временно недоступен"
"#DOTA_RP_QUEST"	"On A Training Mission""Обучение"
"#DOTA_RP_BOTPRACTICE"	"Playing Against Bots""Игра против ботов"
"#DOTA_RP_COOPBOT"	"Co-op Bot match""Совместная игра с ботами"
"#DOTA_RP_TRAINING"	"On a Training Mission""Обучение"
"#DOTA_RP_OPEN_SOLO"	"Looking for party members""Поиск игроков"
"#DOTA_RP_OPEN_PARTY"	"In party looking for members""Поиск игроков в группу"
"#DOTA_RP_PLAYING_DOTA_S1"	"Playing Dota 2""Играет в Dota 2"
"#DOTA_EventGameName_International2018" "The Underhollow"
"#custom_game_mode_status"	"Playing Custom Game""Играет в польз. режим"
"#npc_dota_hero_none"	"--"
"#npc_dota_hero_target_dummy"	"Target Dummy""Мишень"
"#DOTA_lobby_type_name_lobby"	"Lobby""Лобби"
"#DOTA_lobby_type_name_unranked"	"Unranked""Нерейтинговая"
"#DOTA_lobby_type_name_ranked"	"Ranked""Рейтинговая"
"#DOTA_lobby_type_name_bot_match"	"Bots""Против ботов"
"#DOTA_lobby_type_name_spectator"	"Spectator""Наблюдение"
"#demo_hero_mode_name"	"Demo Hero""Проба героя"
"#game_mode_lobby_name_0"	"-"
"#game_mode_lobby_name_1"	"All Pick"
"#game_mode_lobby_name_2"	"Captains Mode"
"#game_mode_lobby_name_3"	"Random Draft"
"#game_mode_lobby_name_4"	"Single Draft"
"#game_mode_lobby_name_5"	"All Random"
"#game_mode_lobby_name_6"	"-"
"#game_mode_lobby_name_7"	"Diretide""Восстание Тьмы"
"#game_mode_lobby_name_8"	"Reverse Captains Mode"
"#game_mode_lobby_name_9"	"The Greeviling""Отморожество"
"#game_mode_lobby_name_10"	"Tutorial""Обучение"
"#game_mode_lobby_name_11"	"Mid Only"
"#game_mode_lobby_name_12"	"Least Played"
"#game_mode_lobby_name_13"	"Limited Heroes"
"#game_mode_lobby_name_14"	"Compendium""Компендиум"
"#game_mode_lobby_name_15"	"Custom""Пользовательский режим"
"#game_mode_lobby_name_16"	"Captains Draft"
"#game_mode_lobby_name_17"	"Balanced Draft"
"#game_mode_lobby_name_18"	"Ability Draft"
"#game_mode_lobby_name_20"	"All Random Deathmatch"
"#game_mode_lobby_name_21"	"1v1 Solo Mid"
"#game_mode_lobby_name_22"	"Ranked All Pick""Рейтинговый All Pick"
"#game_mode_lobby_name_23"	"Turbo"
"#game_mode_lobby_name_24"	"Mutation""Мутация"
"#game_mode_0"	"-"
"#game_mode_1"	"All Pick"
"#game_mode_2"	"Captains Mode"
"#game_mode_3"	"Random Draft"
"#game_mode_4"	"Single Draft"
"#game_mode_5"	"All Random"
"#game_mode_6"	"-"
"#game_mode_7"	"Diretide""Восстание Тьмы"
"#game_mode_8"	"Reverse Captains Mode"
"#game_mode_9"	"The Greeviling""Отморожество"
"#game_mode_10"	"Tutorial""Обучение"
"#game_mode_11"	"Mid Only"
"#game_mode_12"	"Least Played"
"#game_mode_13"	"Limited Heroes"
"#game_mode_14"	"Compendium"  //aka forced hero "Компендиум"
"#game_mode_15"	"Custom""Пользовательский режим"
"#game_mode_16"	"Captains Draft"
"#game_mode_17"	"Balanced Draft"
"#game_mode_18"	"Ability Draft"
"#game_mode_19"	"Custom Game"
"#game_mode_20"	"All Random Deathmatch"
"#game_mode_21"	"1v1 Solo Mid"
"#game_mode_22"	"All Pick""Рейтинговый All Pick"
"#game_mode_23"	"Turbo"
"#game_mode_24"	"Mutation""Мутация"
"#DOTA_RP_PLAYING_EVENT_MATCH"	"Играет в {%param0%}"
"#DOTA_EventGameName_International2018"	"Пещеры пустоши"
